<Team_Name>,<Mission_Time>,PACKET_COUNT,PACKET_TYPE,MODE,TP_RELEASED,ALTITUDE,TEMP,VOLTAGE,GPS_TIME,GPS_LATITUDE,GPS_LONGITUDE,GPS_ALTITUDE,GPS_SATS,SOFTWARE_STATE,CMD_ECHO,<Team_Name>,<Mission_Time>,PACKET_COUNT,PACKET_TYPE,TP_ALTITUDE,TP_TEMP,TP_VOLTAGE,GYRO_R,GYRO_P,GYRO_Y,ACCEL_R,ACCEL_P,ACCEL_Y,MAG_R,MAG_P,MAG_Y,POINTING_ERROR,TP_SOFTWARE_STATE
1077,12:34:34,1,C,S,N,0,23.8,3.3,12:34:34,28.608,77.0406,0,9,1,CXON,1077,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1077,12:34:35,2,C,S,N,10.2,25,3.3,12:34:35,28.608,77.0406,10.2,9,2,SIMP101202.524,1077,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1077,12:34:36,3,C,S,N,20.5,20.4,3.3,12:34:36,28.608,77.0406,20.5,9,2,SIMP101078.969,1077,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1077,12:34:37,4,C,S,N,30.8,22.3,3.3,12:34:37,28.608,77.0406,30.8,9,2,SIMP100955.536,1077,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1077,12:34:38,5,C,S,N,40.9,23,3.3,12:34:38,28.608,77.0406,40.9,9,2,SIMP100834.618,1077,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1077,12:34:39,6,C,S,N,51,22.2,3.3,12:34:39,28.608,77.0406,51,9,2,SIMP100713.817,1077,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1077,12:34:40,7,C,S,N,61,23.8,3.3,12:34:40,28.608,77.0406,61,9,2,SIMP100594.328,1077,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1077,12:34:41,8,C,S,N,70.9,23.1,3.3,12:34:41,28.608,77.0406,70.9,9,2,SIMP100476.147,1077,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1077,12:34:42,9,C,S,N,80.7,23.8,3.3,12:34:42,28.608,77.0406,80.7,9,2,SIMP100359.271,1077,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1077,12:34:43,10,C,S,N,90.5,24.8,3.3,12:34:43,28.608,77.0406,90.5,9,2,SIMP100242.504,1077,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1077,12:34:44,11,C,S,N,100.1,22.1,3.3,12:34:44,28.608,77.0406,100.1,9,2,SIMP100128.228,1077,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1077,12:34:45,12,C,S,N,109.7,24.1,3.3,12:34:45,28.608,77.0406,109.7,9,2,SIMP100014.056,1077,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1077,12:34:46,13,C,S,N,119.2,21.8,3.3,12:34:46,28.608,77.0406,119.2,9,2,SIMP99901.178,1077,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1077,12:34:47,14,C,S,N,128.7,24.1,3.3,12:34:47,28.608,77.0406,128.7,9,2,SIMP99788.403,1077,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1077,12:34:48,15,C,S,N,138,24.9,3.3,12:34:48,28.608,77.0406,138,9,2,SIMP99678.102,1077,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1077,12:34:49,16,C,S,N,147.3,25,3.3,12:34:49,28.608,77.0406,147.3,9,2,SIMP99567.9,1077,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1077,12:34:50,17,C,S,N,156.5,24.9,3.3,12:34:50,28.608,77.0406,156.5,9,2,SIMP99458.98,1077,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1077,12:34:51,18,C,S,N,165.6,20.4,3.3,12:34:51,28.608,77.0406,165.6,9,2,SIMP99351.339,1077,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1077,12:34:52,19,C,S,N,174.6,20.4,3.3,12:34:52,28.608,77.0406,174.6,9,2,SIMP99244.974,1077,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1077,12:34:53,20,C,S,N,183.6,22.2,3.3,12:34:53,28.608,77.0406,183.6,9,2,SIMP99138.7,1077,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1077,12:34:54,21,C,S,N,192.5,24.4,3.3,12:34:54,28.608,77.0406,192.5,9,2,SIMP99033.698,1077,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1077,12:34:55,22,C,S,N,201.3,23.1,3.3,12:34:55,28.608,77.0406,201.3,9,2,SIMP98929.965,1077,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1077,12:34:56,23,C,S,N,210,21.9,3.3,12:34:56,28.608,77.0406,210,9,2,SIMP98827.497,1077,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1077,12:34:57,24,C,S,N,218.6,23.7,3.3,12:34:57,28.608,77.0406,218.6,9,2,SIMP98726.291,1077,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1077,12:34:58,25,C,S,N,227.2,20.3,3.3,12:34:58,28.608,77.0406,227.2,9,2,SIMP98625.169,1077,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1077,12:34:59,26,C,S,N,235.6,20,3.3,12:34:59,28.608,77.0406,235.6,9,2,SIMP98526.479,1077,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1077,12:35:00,27,C,S,N,244,22.1,3.3,12:35:00,28.608,77.0406,244,9,2,SIMP98427.87,1077,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1077,12:35:01,28,C,S,N,252.3,24.1,3.3,12:35:01,28.608,77.0406,252.3,9,2,SIMP98330.513,1077,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1077,12:35:02,29,C,S,N,260.6,20.9,3.3,12:35:02,28.608,77.0406,260.6,9,2,SIMP98233.234,1077,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1077,12:35:03,30,C,S,N,268.7,20.4,3.3,12:35:03,28.608,77.0406,268.7,9,2,SIMP98138.374,1077,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1077,12:35:04,31,C,S,N,276.8,25,3.3,12:35:04,28.608,77.0406,276.8,9,2,SIMP98043.589,1077,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1077,12:35:05,32,C,S,N,284.8,24.1,3.3,12:35:05,28.608,77.0406,284.8,9,2,SIMP97950.046,1077,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1077,12:35:06,33,C,S,N,292.7,22,3.3,12:35:06,28.608,77.0406,292.7,9,2,SIMP97857.744,1077,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1077,12:35:07,34,C,S,N,300.5,25,3.3,12:35:07,28.608,77.0406,300.5,9,2,SIMP97766.679,1077,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1077,12:35:08,35,C,S,N,308.3,23.6,3.3,12:35:08,28.608,77.0406,308.3,9,2,SIMP97675.683,1077,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1077,12:35:09,36,C,S,N,316,23.2,3.3,12:35:09,28.608,77.0406,316,9,2,SIMP97585.92,1077,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1077,12:35:10,37,C,S,N,323.6,23.2,3.3,12:35:10,28.608,77.0406,323.6,9,2,SIMP97497.389,1077,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1077,12:35:11,38,C,S,N,331.1,23.6,3.3,12:35:11,28.608,77.0406,331.1,9,2,SIMP97410.087,1077,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1077,12:35:12,39,C,S,N,338.5,20.4,3.3,12:35:12,28.608,77.0406,338.5,9,2,SIMP97324.01,1077,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1077,12:35:13,40,C,S,N,345.9,21.8,3.3,12:35:13,28.608,77.0406,345.9,9,2,SIMP97237.996,1077,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1077,12:35:14,41,C,S,N,353.2,21.5,3.3,12:35:14,28.608,77.0406,353.2,9,2,SIMP97153.204,1077,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1077,12:35:15,42,C,S,N,360.3,23.8,3.3,12:35:15,28.608,77.0406,360.3,9,2,SIMP97070.792,1077,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1077,12:35:16,43,C,S,N,367.5,21.6,3.3,12:35:16,28.608,77.0406,367.5,9,2,SIMP96987.278,1077,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
